CA	Piston position	D	E	F	G	H	I	J
180.00	90.407							
180.10	90.406							
180.20	90.405							
180.30	90.405							
180.40	90.403							
180.50	90.402							
180.60	90.401							
180.70	90.400							
180.80	90.398							
180.90	90.397							
181.00	90.395							
181.10	90.393							
181.20	90.391							
181.30	90.389							
181.40	90.387							
181.50	90.385							
181.60	90.383							
181.70	90.380							
181.80	90.378							
181.90	90.375							
182.00	90.372							
182.10	90.370							
182.20	90.367							
182.30	90.364							
182.40	90.361							
182.50	90.357							
182.60	90.354							
182.70	90.351							
182.80	90.347							
182.90	90.343							
183.00	90.340							
183.10	90.336							
183.20	90.332							
183.30	90.328							
183.40	90.324							
183.50	90.320							
183.60	90.315							
183.70	90.311							
183.80	90.306							
183.90	90.302							
184.00	90.297							
184.10	90.292							
184.20	90.287							
184.30	90.282							
184.40	90.277							
184.50	90.271							
184.60	90.266							
184.70	90.261							
184.80	90.255							
184.90	90.249							
185.00	90.244							
185.10	90.238							
185.20	90.232							
185.30	90.226							
185.40	90.219							
185.50	90.213							
185.60	90.207							
185.70	90.200							
185.80	90.194							
185.90	90.187							
186.00	90.180							
186.10	90.173							
186.20	90.166							
186.30	90.159							
186.40	90.152							
186.50	90.145							
186.60	90.137							
186.70	90.130							
186.80	90.122							
186.90	90.114							
187.00	90.106							
187.10	90.099							
187.20	90.090							
187.30	90.082							
187.40	90.074							
187.50	90.066							
187.60	90.057							
187.70	90.049							
187.80	90.040							
187.90	90.031							
188.00	90.023							
188.10	90.014							
188.20	90.005							
188.30	89.995							
188.40	89.986							
188.50	89.977							
188.60	89.967							
188.70	89.958							
188.80	89.948							
188.90	89.938							
189.00	89.928							
189.10	89.918							
189.20	89.908							
189.30	89.898							
189.40	89.888							
189.50	89.877							
189.60	89.867							
189.70	89.856							
189.80	89.846							
189.90	89.835							
190.00	89.824							
190.10	89.813							
190.20	89.802							
190.30	89.791							
190.40	89.779							
190.50	89.768							
190.60	89.756							
190.70	89.745							
190.80	89.733							
190.90	89.721							
191.00	89.709							
191.10	89.697							
191.20	89.685							
191.30	89.673							
191.40	89.661							
191.50	89.648							
191.60	89.636							
191.70	89.623							
191.80	89.610							
191.90	89.597							
192.00	89.584							
192.10	89.571							
192.20	89.558							
192.30	89.545							
192.40	89.532							
192.50	89.518							
192.60	89.505							
192.70	89.491							
192.80	89.477							
192.90	89.463							
193.00	89.449							
193.10	89.435							
193.20	89.421							
193.30	89.407							
193.40	89.392							
193.50	89.378							
193.60	89.363							
193.70	89.349							
193.80	89.334							
193.90	89.319							
194.00	89.304							
194.10	89.289							
194.20	89.274							
194.30	89.258							
194.40	89.243							
194.50	89.227							
194.60	89.212							
194.70	89.196							
194.80	89.180							
194.90	89.164							
195.00	89.148							
195.10	89.132							
195.20	89.116							
195.30	89.100							
195.40	89.083							
195.50	89.067							
195.60	89.050							
195.70	89.033							
195.80	89.017							
195.90	89.000							
196.00	88.983							
196.10	88.966							
196.20	88.948							
196.30	88.931							
196.40	88.914							
196.50	88.896							
196.60	88.878							
196.70	88.861							
196.80	88.843							
196.90	88.825							
197.00	88.807							
197.10	88.789							
197.20	88.770							
197.30	88.752							
197.40	88.733							
197.50	88.715							
197.60	88.696							
197.70	88.677							
197.80	88.659							
197.90	88.640							
198.00	88.621							
198.10	88.601							
198.20	88.582							
198.30	88.563							
198.40	88.543							
198.50	88.524							
198.60	88.504							
198.70	88.484							
198.80	88.464							
198.90	88.444							
199.00	88.424							
199.10	88.404							
199.20	88.384							
199.30	88.363							
199.40	88.343							
199.50	88.322							
199.60	88.302							
199.70	88.281							
199.80	88.260							
199.90	88.239							
200.00	88.218							
200.10	88.196							
200.20	88.175							
200.30	88.154							
200.40	88.132							
200.50	88.111							
200.60	88.089							
200.70	88.067							
200.80	88.045							
200.90	88.023							
201.00	88.001							
201.10	87.979							
201.20	87.956							
201.30	87.934							
201.40	87.911							
201.50	87.889							
201.60	87.866							
201.70	87.843							
201.80	87.820							
201.90	87.797							
202.00	87.774							
202.10	87.751							
202.20	87.727							
202.30	87.704							
202.40	87.680							
202.50	87.657							
202.60	87.633							
202.70	87.609							
202.80	87.585							
202.90	87.561							
203.00	87.537							
203.10	87.513							
203.20	87.488							
203.30	87.464							
203.40	87.439							
203.50	87.415							
203.60	87.390							
203.70	87.365							
203.80	87.340							
203.90	87.315							
204.00	87.290							
204.10	87.265							
204.20	87.239							
204.30	87.214							
204.40	87.188							
204.50	87.162							
204.60	87.137							
204.70	87.111							
204.80	87.085							
204.90	87.059							
205.00	87.032							
205.10	87.006							
205.20	86.980							
205.30	86.953							
205.40	86.927							
205.50	86.900							
205.60	86.873							
205.70	86.846							
205.80	86.819							
205.90	86.792							
206.00	86.765							
206.10	86.738							
206.20	86.710							
206.30	86.683							
206.40	86.655							
206.50	86.627							
206.60	86.600							
206.70	86.572							
206.80	86.544							
206.90	86.516							
207.00	86.487							
207.10	86.459							
207.20	86.431							
