Time,RunCode,RPM,MDot,MDotSet,PIntake,TIntake,TLiner,PH2O,TH2OIn,TH2OOut,POil,TOilIn,TOilOut,PFuel,TFuelIn,TFuelOut,CRFuel,SumMode,MDot1,MDotSet1,MDot2,MDotSet2,MDot3,MDotSet3,MDot4,MDotSet4
134200,,197,10.488,47.700,101.3,21.02,89.52,154.9,91.91,89.88,258.1,93.99,82.24,925.2,21.24,24.42,21.02,2,31.55,31.80,15.85,15.90,6.56,28.91,3.93,18.79
134201,,394,10.418,47.700,101.3,21.05,89.41,152.4,92.06,89.79,258.4,93.88,82.25,919.2,21.31,24.54,21.01,2,31.56,31.80,15.84,15.90,6.50,28.91,3.92,18.79
134202,,605,10.307,47.700,101.3,21.11,89.49,150.4,92.28,89.77,259.2,93.96,82.35,913.6,21.33,24.57,21.09,2,31.53,31.80,15.84,15.90,6.43,28.91,3.88,18.79
134203,,796,10.294,47.700,101.3,21.09,89.27,153.1,92.36,89.49,257.9,93.86,82.23,910.0,21.15,24.88,21.07,2,31.55,31.80,15.83,15.90,6.41,28.91,3.88,18.79
134205,,956,10.978,47.700,105.5,21.13,89.27,153.2,92.62,89.73,257.3,93.94,82.29,905.6,21.27,24.52,21.05,2,31.54,31.80,15.84,15.90,6.87,28.91,4.11,18.79
134206,,1106,11.738,47.700,112.3,21.73,88.96,155.3,92.87,89.48,256.2,93.67,82.36,902.3,21.31,24.66,21.00,2,31.53,31.80,15.84,15.90,7.29,28.91,4.44,18.79
134207,,1175,12.150,47.700,117.8,22.11,89.04,154.7,93.07,89.50,254.6,93.85,82.28,903.7,21.24,24.27,21.04,2,31.54,31.80,15.84,15.90,7.52,28.91,4.63,18.79
134208,,1217,12.554,47.700,122.3,22.83,88.93,151.8,93.46,89.35,257.4,93.92,82.21,909.1,21.46,24.57,21.05,2,31.55,31.80,15.83,15.90,7.78,28.91,4.78,18.79
134209,,1238,13.019,47.700,125.8,23.31,89.10,157.4,93.47,89.44,256.6,93.59,81.90,916.3,21.22,24.54,21.00,2,31.74,31.80,15.84,15.90,8.08,28.91,4.94,18.79
134210,,1242,13.278,47.700,130.8,23.76,88.93,151.9,93.74,89.47,257.4,93.60,81.67,925.2,21.27,24.54,21.01,2,31.69,31.80,15.84,15.90,8.28,28.91,5.00,18.79
